Channel,Central Time,Central Frequency (Hz),Q,Energy,SNR,Correlation,Standard Deviation,Delay (ms)
L1:LSC-DARM_OUT_DQ,1186741861.516,97.5,8.6,49.599998474121094,10.0,269.9,42.06005988165401,0
L1:LSC-POP_A_LF_OUT_DQ,1186741861.526,424.3,5.1,60.599998474121094,11.0,12.3,6.622608390102284,-21
L1:ASC-PRC2_Y_OUT_DQ,1186741860.996,6.4,37.0,66.5,11.5,4.1,1.0117257016505021,56
L1:ASC-SRC1_P_OUT_DQ,1186741861.437,149.8,37.0,58.29999923706055,10.8,2.4,1.1038435455761941,35
L1:PEM-EY_VAULT_MAG_LEMI_X_DQ,1186741861.48,744.8,11.9,6883.89990234375,117.3,16.2,7.7680179951618165,-38
L1:PEM-CS_MAG_EBAY_SUSRACK_QUAD_SUM_DQ,1186741861.246,14.6,65.3,36.400001525878906,8.5,30.7,16.22882629671217,-24
L1:PEM-EX_MAG_VEA_FLOOR_QUAD_SUM_DQ,1186741861.453,1090.8,5.1,30.299999237060547,7.8,13.2,7.380087053018449,25
L1:PEM-CS_MAG_LVEA_VERTEX_QUAD_SUM_DQ,1186741861.378,845.8,5.1,27.5,7.4,10.4,5.217144425929169,87
L1:PEM-EY_VAULT_MAG_LEMI_Y_DQ,1186741861.48,744.8,11.9,4504.2998046875,94.9,12.1,7.386399608551501,-38
L1:PEM-EY_MAG_VEA_FLOOR_QUAD_SUM_DQ,1186741861.728,1090.8,5.1,44.29999923706055,9.4,25.2,12.57712382831724,-13
L1:PEM-EX_MAG_VEA_FLOOR_Z_DQ,1186741861.266,2184.1,5.1,57.900001525878906,10.8,11.6,7.362078350457823,17
L1:PEM-CS_MAG_EBAY_SUSRACK_Y_DQ,1186741860.992,7.7,65.3,32.599998474121094,8.1,19.6,13.875862492780636,-17
L1:PEM-CS_MAG_LVEA_VERTEX_X_DQ,1186741861.286,470.5,65.3,29.200000762939453,7.6,13.9,9.013923253558287,-10
L1:PEM-EY_MAG_VEA_FLOOR_Y_DQ,1186741861.627,63.3,65.3,31.700000762939453,8.0,16.2,10.134077295071178,49
L1:PEM-CS_MAG_LVEA_VERTEX_Z_DQ,1186741861.341,470.5,65.3,38.099998474121094,8.7,7.9,4.442854197583799,-36
L1:PEM-CS_RADIO_EBAY_NARROWBAND_2_DQ,1186741861.689,4510.2,65.3,81.69999694824219,12.8,1.7,0.5037215503037523,-34
L1:SUS-TMSX_M1_DAMP_L_IN1_DQ,1186741859.492,0.2,5.4,26.399999618530273,7.3,2.4,1.1670927753467306,-3
L1:TCS-ITMY_CO2_ISS_IN_AC_OUT_DQ,1186741861.526,546.0,5.1,54.599998474121094,10.4,5.5,11.279710810768588,-84
